Country_Name,Unemployment_Percentage_2010
Aruba,
Afghanistan,8.227999687
Angola,6.787000179
Albania,14.19999981
Andorra,
Arab World,10.0692222
United Arab Emirates,4.171000004
Argentina,7.714000225
Armenia,19
American Samoa,
Antigua and Barbuda,
Australia,5.210999966
Austria,4.820000172
Azerbaijan,5.599999905
Burundi,1.610999942
Belgium,8.291999817
Benin,1.039999962
Burkina Faso,3.315999985
Bangladesh,4.53000021
Bulgaria,10.27900028
Bahrain,1.129999995
"Bahamas, The",14.32999992
Bosnia and Herzegovina,27.20000076
Belarus,0.699999988
Belize,13.23600006
Bermuda,
Bolivia,5.989999771
Brazil,8.487999916
Barbados,10.68999958
Brunei Darussalam,1.722000003
Bhutan,3.319999933
Botswana,17.86000061
Central African Republic,6.751999855
Canada,8.100000381
Central Europe and the Baltics,9.901154593
Switzerland,4.544000149
Channel Islands,8.911999702
Chile,8.142000198
China,4.199999809
Cote d'Ivoire,9.237000465
Cameroon,4.110000134
"Congo, Dem. Rep.",3.703999996
"Congo, Rep.",14.58500004
Colombia,11.83100033
Comoros,19.93000031
Cabo Verde,10.67000008
Costa Rica,8.916999817
Caribbean small states,10.96347528
Cuba,2.5
Curacao,
Cayman Islands,
Cyprus,6.263000011
Czech Republic,7.278999805
Germany,6.96600008
Djibouti,6.736999989
Dominica,
Denmark,7.464000225
Dominican Republic,12.39999962
Algeria,9.960000038
East Asia & Pacific (excluding high income),4.316604831
Early-demographic dividend,5.71695191
East Asia & Pacific,4.357242141
Europe & Central Asia (excluding high income),8.603146801
Europe & Central Asia,9.098507643
Ecuador,5.019999981
"Egypt, Arab Rep.",8.979999542
Euro area,10.11195861
Eritrea,7.241000175
Spain,19.86000061
Estonia,16.70700073
Ethiopia,5.163000107
European Union,9.558869589
Fragile and conflict affected situations,6.808801703
Finland,8.394000053
Fiji,8.899999619
France,9.303999901
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,20.38999939
United Kingdom,7.787000179
Georgia,16.29999924
Ghana,4.199999809
Gibraltar,
Guinea,6.900000095
"Gambia, The",29.81299973
Guinea-Bissau,6.653999805
Equatorial Guinea,6.597000122
Greece,12.7130003
Grenada,
Greenland,
Guatemala,3.74000001
Guam,8.199999809
Guyana,10.90100002
High income,8.345751563
"Hong Kong SAR, China",4.309999943
Honduras,4.800000191
Heavily indebted poor countries (HIPC),6.310274624
Croatia,11.61999989
Haiti,14.51399994
Hungary,11.17199993
IBRD only,5.606361896
IDA & IBRD total,5.640541798
IDA total,5.756021578
IDA blend,5.471042459
Indonesia,7.139999866
IDA only,5.906401439
Isle of Man,
India,3.549999952
Not classified,
Ireland,13.85400009
"Iran, Islamic Rep.",13.52000046
Iraq,15.24199963
Iceland,7.56400013
Israel,8.479999542
Italy,8.362000465
Jamaica,12.39999962
Jordan,12.5
Japan,5.099999905
Kazakhstan,5.769999981
Kenya,12.18400002
Kyrgyz Republic,8.640000343
Cambodia,0.349999994
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",3.700000048
Kuwait,1.799999952
Latin America & Caribbean (excluding high income),7.600286388
Lao PDR,1.381999969
Lebanon,6.170000076
Liberia,3.700000048
Libya,18.39900017
St. Lucia,20.63800049
Latin America & Caribbean,7.652678808
Least developed countries: UN classification,5.505253241
Low income,5.578888939
Liechtenstein,
Sri Lanka,4.900000095
Lower middle income,5.247601977
Low & middle income,5.592833371
Lesotho,25.63400078
Late-demographic dividend,5.193762812
Lithuania,17.81399918
Luxembourg,4.361000061
Latvia,19.48200035
"Macao SAR, China",2.799999952
St. Martin (French part),
Morocco,9.100000381
Monaco,
Moldova,7.449999809
Madagascar,3.839999914
Maldives,11.71000004
Middle East & North Africa,10.49710973
Mexico,5.328999996
Marshall Islands,
Middle income,5.594209152
"Macedonia, FYR",32
Mali,7.300000191
Malta,6.847000122
Myanmar,0.809000015
Middle East & North Africa (excluding high income),11.62530645
Montenegro,19.70000076
Mongolia,6.5
Northern Mariana Islands,
Mozambique,23.52199936
Mauritania,10.83699989
Mauritius,7.699999809
Malawi,6.493999958
Malaysia,3.400000095
North America,9.439679997
Namibia,22.10000038
New Caledonia,13.92800045
Niger,2.444999933
Nigeria,7.285999775
Nicaragua,8
Netherlands,4.449999809
Norway,3.520999908
Nepal,2.528000116
Nauru,
New Zealand,6.144999981
OECD members,8.304328391
Oman,18.31200027
Other small states,12.84065956
