Country_Name,Unemployment_Percentage_2005
Aruba,
Afghanistan,8.5
Angola,6.985000134
Albania,13.83199978
Andorra,
Arab World,11.8981436
United Arab Emirates,3.099999905
Argentina,11.50599957
Armenia,17.2329998
American Samoa,
Antigua and Barbuda,
Australia,5.032999992
Austria,5.627999783
Azerbaijan,7.300000191
Burundi,1.659000039
Belgium,8.43999958
Benin,0.89200002
Burkina Faso,4
Bangladesh,4.25
Bulgaria,10.08300018
Bahrain,1.345000029
"Bahamas, The",10.19999981
Bosnia and Herzegovina,21.54999924
Belarus,0.717999995
Belize,10.97999954
Bermuda,
Bolivia,5.400000095
Brazil,11.36699963
Barbados,9.100000381
Brunei Darussalam,2.372999907
Bhutan,3.059999943
Botswana,20.5170002
Central African Republic,6.795000076
Canada,6.800000191
Central Europe and the Baltics,12.02982681
Switzerland,4.436999798
Channel Islands,8.633999825
Chile,8.00399971
China,4.139999866
Cote d'Ivoire,9.211999893
Cameroon,4.400000095
"Congo, Dem. Rep.",3.700000048
"Congo, Rep.",15.85499954
Colombia,11.86999989
Comoros,20.31399918
Cabo Verde,11.06799984
Costa Rica,6.571000099
Caribbean small states,10.27192129
Cuba,1.899999976
Curacao,
Cayman Islands,
Cyprus,5.303999901
Czech Republic,7.927000046
Germany,11.16699982
Djibouti,6.798999786
Dominica,
Denmark,4.829999924
Dominican Republic,18
Algeria,15.30000019
East Asia & Pacific (excluding high income),4.689135597
Early-demographic dividend,6.70035302
East Asia & Pacific,4.660071729
Europe & Central Asia (excluding high income),8.463930213
Europe & Central Asia,8.695455163
Ecuador,7.739999771
"Egypt, Arab Rep.",11.19999981
Euro area,9.037339408
Eritrea,7.519000053
Spain,9.145999908
Estonia,8.032999992
Ethiopia,5.380000114
European Union,8.951634284
Fragile and conflict affected situations,6.862333149
Finland,8.383999825
Fiji,4.599999905
France,8.946000099
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,16.89999962
United Kingdom,4.75
Georgia,13.81000042
Ghana,4.933000088
Gibraltar,
Guinea,6.882999897
"Gambia, The",29.68700027
Guinea-Bissau,6.731999874
Equatorial Guinea,6.684999943
Greece,9.994000435
Grenada,
Greenland,
Guatemala,2.476999998
Guam,7
Guyana,10.22700024
High income,6.754043948
"Hong Kong SAR, China",5.579999924
Honduras,4.199999809
Heavily indebted poor countries (HIPC),6.588835177
Croatia,12.59799957
Haiti,14.22500038
Hungary,7.188000202
IBRD only,6.293714143
IDA & IBRD total,6.222302328
IDA total,5.959326433
IDA blend,5.96888186
Indonesia,11.19999981
IDA only,5.954306978
Isle of Man,
India,4.400000095
Not classified,
Ireland,4.342000008
"Iran, Islamic Rep.",12.10000038
Iraq,17.96999931
Iceland,2.546999931
Israel,11.34200001
Italy,7.730000019
Jamaica,10.89999962
Jordan,14.80000019
Japan,4.400000095
Kazakhstan,8.100000381
Kenya,10.71700001
Kyrgyz Republic,8.109999657
Cambodia,1.792999983
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",3.700000048
Kuwait,1.950000048
Latin America & Caribbean (excluding high income),9.166155413
Lao PDR,1.399999976
Lebanon,8.133000374
Liberia,4.93599987
Libya,19.20299911
St. Lucia,18.70000076
Latin America & Caribbean,9.164390586
Least developed countries: UN classification,5.625921716
Low income,5.645661984
Liechtenstein,
Sri Lanka,7.699999809
Lower middle income,6.145694664
Low & middle income,6.113518526
Lesotho,36.02299881
Late-demographic dividend,5.516797067
Lithuania,8.324999809
Luxembourg,4.487999916
Latvia,10.03299999
"Macao SAR, China",4.199999809
St. Martin (French part),
Morocco,11.01000023
Monaco,
Moldova,7.289999962
Madagascar,2.599999905
Maldives,7.039000034
Middle East & North Africa,11.84871592
Mexico,3.558000088
Marshall Islands,
Middle income,6.155612221
"Macedonia, FYR",37.27000046
Mali,9.583000183
Malta,6.922999859
Myanmar,0.856000006
Middle East & North Africa (excluding high income),12.79292646
Montenegro,19.5909996
Mongolia,3.299999952
Northern Mariana Islands,
Mozambique,23.20299911
Mauritania,10.93200016
Mauritius,9.600000381
Malawi,7.800000191
Malaysia,3.5
North America,5.276446852
Namibia,23.125
New Caledonia,16.6970005
Niger,3.099999905
Nigeria,7.05700016
Nicaragua,5.599999905
Netherlands,4.723999977
Norway,4.381000042
Nepal,3.178999901
Nauru,
New Zealand,3.812999964
OECD members,6.639418023
Oman,19.23800087
Other small states,14.49594214
Pakistan,7.699999809
Panama,9.800000191
Peru,8.31000042
Philippines,7.739999771
Palau,
Papua New Guinea,2.555999994
Poland,17.74600029
Pre-demographic dividend,7.505705647
Puerto Rico,11.35000038
"Korea, Dem. PeopleÅEs Rep.",4.499000072
Portugal,7.581999779
Paraguay,5.800000191
West Bank and Gaza,23.45999908
Pacific island small states,11.96994858
Post-demographic dividend,6.274970976
French Polynesia,16.10899925
Qatar,1.559999943
Romania,7.173999786
Russian Federation,7.124000072
Rwanda,2.430999994
South Asia,4.717624351
Saudi Arabia,6.050000191
Sudan,14.10700035
Senegal,8.468000412
Singapore,5.590000153
Solomon Islands,31.2840004
Sierra Leone,3.305000067
El Salvador,7.199999809
San Marino,
Somalia,6.690000057
Serbia,20.85000038
Sub-Saharan Africa (excluding high income),7.953865656
South Sudan,
