Country_Name,Human_Development_Index_1990
 Afghanistan,0.295
 Albania,0.635
 Algeria,0.577
 Andorra,
 Angola,
 Antigua and Barbuda,
 Argentina,0.705
 Armenia,0.634
 Australia,0.866
 Austria,0.794
 Azerbaijan,
 Bahamas,
 Bahrain,0.745
 Bangladesh,0.386
 Barbados,0.714
 Belarus,
 Belgium,0.805
 Belize,0.648
 Benin,0.345
 Bhutan,
 Bolivia (Plurinational State of),0.535
 Bosnia and Herzegovina,
 Botswana,0.585
 Brazil,0.611
 Brunei Darussalam,0.782
 Bulgaria,0.7
 Burkina Faso,
 Burundi,0.27
 Cabo Verde,
 Cambodia,0.357
 Cameroon,0.444
 Canada,0.849
 Central African Republic,0.32
 Chad,
 Chile,0.7
 China,0.499
 Colombia,0.592
 Comoros,
 Congo,0.521
 Congo (Democratic Republic of the),0.356
 Costa Rica,0.653
 Croatia,0.669
 Cuba,0.676
 Cyprus,0.733
 Czech Republic,0.761
 CÅEEte d'Ivoire,0.389
 Denmark,0.799
 Djibouti,
 Dominica,
 Dominican Republic,0.596
 Ecuador,0.643
 Egypt,0.547
 El Salvador,0.529
 Equatorial Guinea,
 Eritrea,
 Estonia,0.728
 Ethiopia,
 Fiji,0.641
 Finland,0.783
 France,0.779
 Gabon,0.62
 Gambia,0.33
 Georgia,
 Germany,0.801
 Ghana,0.455
 Greece,0.76
 Grenada,
 Guatemala,0.478
 Guinea,0.271
 Guinea-Bissau,
 Guyana,0.541
 Haiti,0.408
 Honduras,0.507
" Hong Kong, China (SAR)",0.781
 Hungary,0.703
 Iceland,0.797
 India,0.428
 Indonesia,0.528
 Iran (Islamic Republic of),0.572
 Iraq,0.572
 Ireland,0.762
 Israel,0.785
 Italy,0.768
 Jamaica,0.651
 Japan,0.814
 Jordan,0.62
 Kazakhstan,0.69
 Kenya,0.473
 Kiribati,
 Korea (Republic of),0.731
 Kuwait,0.713
 Kyrgyzstan,0.615
 Lao People's Democratic Republic,0.397
 Latvia,0.703
 Lebanon,
 Lesotho,0.493
 Liberia,
 Libya,0.681
 Liechtenstein,
 Lithuania,0.731
 Luxembourg,0.782
 Madagascar,
 Malawi,0.325
 Malaysia,0.643
 Maldives,
 Mali,0.222
 Malta,0.736
 Mauritania,0.378
 Mauritius,0.62
 Mexico,0.648
 Micronesia (Federated States of),
 Moldova (Republic of),0.652
 Mongolia,0.579
 Montenegro,
 Morocco,0.458
 Mozambique,0.209
 Myanmar,0.353
 Namibia,0.578
 Nepal,0.378
 Netherlands,0.83
 New Zealand,0.818
 Nicaragua,0.495
 Niger,0.212
 Nigeria,
 Norway,0.849
 Oman,
 Pakistan,0.404
 Palau,
" Palestine, State of",
 Panama,0.662
 Papua New Guinea,0.36
 Paraguay,0.58
 Peru,0.613
 Philippines,0.586
 Poland,0.712
 Portugal,0.711
 Qatar,0.754
 Romania,0.7
 Russian Federation,0.733
 Rwanda,0.244
 Saint Kitts and Nevis,
 Saint Lucia,
 Saint Vincent and the Grenadines,
 Samoa,0.598
 Sao Tome and Principe,0.454
 Saudi Arabia,0.698
 Senegal,0.367
 Serbia,0.714
 Seychelles,
 Sierra Leone,0.272
 Singapore,0.718
 Slovakia,0.738
 Slovenia,0.767
 Solomon Islands,
 South Africa,0.621
 South Sudan,
 Spain,0.755
 Sri Lanka,0.626
 Sudan,0.331
 Suriname,
 Swaziland,0.548
 Sweden,0.815
 Switzerland,0.831
 Syrian Arab Republic,0.556
 Tajikistan,0.616
 Tanzania (United Republic of),0.37
 Thailand,0.574
 The former Yugoslav Republic of Macedonia,
 Timor-Leste,
 Togo,0.404
 Tonga,0.648
 Trinidad and Tobago,0.67
 Tunisia,0.569
 Turkey,0.576
 Turkmenistan,
 Uganda,0.309
 Ukraine,0.706
 United Arab Emirates,0.726
 United Kingdom,0.775
 United States,0.86
 Uruguay,0.692
 Uzbekistan,
 Vanuatu,
 Venezuela (Bolivarian Republic of),0.634
 Viet Nam,0.477
 Yemen,0.405
 Zambia,0.398
 Zimbabwe,0.499
