Country_Name,Life_Expectancy_2015
Aruba,75.57358537
Afghanistan,60.71717073
Angola,52.66609756
Albania,78.01446341
Andorra,
Arab World,70.78479601
United Arab Emirates,77.5412439
Argentina,76.33421951
Armenia,74.79712195
American Samoa,
Antigua and Barbuda,76.10021951
Australia,82.45121951
Austria,81.84390244
Azerbaijan,70.84878049
Burundi,57.10704878
Belgium,81.28780488
Benin,59.72070732
Burkina Faso,58.93129268
Bangladesh,72.00119512
Bulgaria,74.46585366
Bahrain,76.81909756
"Bahamas, The",75.39682927
Bosnia and Herzegovina,76.58858537
Belarus,73.62439024
Belize,70.19236585
Bermuda,81.01219512
Bolivia,68.73960976
Brazil,74.67587805
Barbados,75.65843902
Brunei Darussalam,79.04082927
Bhutan,69.83285366
Botswana,64.48741463
Central African Republic,51.41912195
Canada,82.13763415
Central Europe and the Baltics,77.02690975
Switzerland,83.19756098
Channel Islands,80.75168293
Chile,81.78756098
China,75.98634146
Cote d'Ivoire,51.9197561
Cameroon,55.93439024
"Congo, Dem. Rep.",59.02390244
"Congo, Rep.",62.86765854
Colombia,74.18202439
Comoros,63.55402439
Cabo Verde,73.35563415
Costa Rica,79.58646341
Caribbean small states,73.00217652
Cuba,79.54641463
Curacao,
Cayman Islands,
Cyprus,80.30709756
Czech Republic,79.47317073
Germany,81.0902439
Djibouti,62.28565854
Dominica,
Denmark,81.1
Dominican Republic,73.67668293
Algeria,75.04253659
East Asia & Pacific (excluding high income),74.17366392
Early-demographic dividend,69.31966056
East Asia & Pacific,75.10420142
Europe & Central Asia (excluding high income),72.17184385
Europe & Central Asia,77.27983791
Ecuador,76.10292683
"Egypt, Arab Rep.",71.31695122
Euro area,82.07022816
Eritrea,64.10090244
Spain,83.3804878
Estonia,77.13170732
Ethiopia,64.57804878
European Union,81.12612997
Fragile and conflict affected situations,62.03878019
Finland,81.38536585
Fiji,70.25626829
France,82.67073171
Faroe Islands,81.63414634
"Micronesia, Fed. Sts.",69.2342439
Gabon,64.89034146
United Kingdom,81.60487805
Georgia,74.81741463
Ghana,61.49173171
Gibraltar,
Guinea,59.19343902
"Gambia, The",60.46768293
Guinea-Bissau,55.46731707
Equatorial Guinea,57.96341463
Greece,81.58780488
Grenada,73.523
Greenland,
Guatemala,71.9564878
Guam,79.379
Guyana,66.5075122
High income,80.76523885
"Hong Kong SAR, China",84.27804878
Honduras,73.33312195
Heavily indebted poor countries (HIPC),61.2245765
Croatia,77.27560976
Haiti,63.0737561
Hungary,75.96097561
IBRD only,72.29723811
IDA & IBRD total,69.99824675
IDA total,63.73019797
IDA blend,63.54593473
Indonesia,69.07168293
IDA only,63.83069847
Isle of Man,
India,68.34856098
Not classified,
Ireland,81.50243902
"Iran, Islamic Rep.",75.59134146
Iraq,69.59026829
Iceland,82.86097561
Israel,82.05121951
Italy,83.4902439
Jamaica,75.79817073
Jordan,74.20334146
Japan,83.84365854
Kazakhstan,72
Kenya,62.13373171
Kyrgyz Republic,70.65121951
Cambodia,68.65614634
Kiribati,66.14785366
St. Kitts and Nevis,
"Korea, Rep.",82.15585366
Kuwait,74.69790244
Latin America & Caribbean (excluding high income),74.94581821
Lao PDR,66.53987805
Lebanon,79.62860976
Liberia,61.16095122
Libya,71.82631707
St. Lucia,75.1845122
Latin America & Caribbean,75.1697084
Least developed countries: UN classification,63.57645979
Low income,61.74857189
Liechtenstein,82.07317073
Sri Lanka,74.95319512
Lower middle income,67.51790388
Low & middle income,69.92532478
Lesotho,49.96121951
Late-demographic dividend,75.36332721
Lithuania,75.1195122
Luxembourg,82.22926829
Latvia,74.12439024
"Macao SAR, China",80.76607317
St. Martin (French part),79.47073171
Morocco,74.28931707
Monaco,
Moldova,71.62643902
Madagascar,65.48278049
Maldives,76.979
Middle East & North Africa,73.05611426
Mexico,76.92068293
Marshall Islands,
Middle income,70.87062477
"Macedonia, FYR",75.49534146
Mali,58.45721951
Malta,81.94634146
Myanmar,66.04207317
Middle East & North Africa (excluding high income),72.47957482
Montenegro,76.33770732
Mongolia,69.82126829
Northern Mariana Islands,
Mozambique,55.3712439
Mauritania,63.20282927
Mauritius,74.35317073
Malawi,63.79685366
Malaysia,74.87517073
North America,79.08259129
Namibia,64.91543902
New Caledonia,77.77317073
Niger,61.96902439
Nigeria,53.04887805
Nicaragua,75.09812195
Netherlands,81.70731707
Norway,82.1
Nepal,69.97334146
Nauru,
New Zealand,81.45682927
OECD members,80.31860358
Oman,77.32419512
Other small states,66.63053159
Pakistan,66.37697561
Panama,77.76729268
Peru,74.78073171
Philippines,68.4067561
Palau,
Papua New Guinea,62.77668293
Poland,78.20487805
Pre-demographic dividend,58.77699403
Puerto Rico,79.57231707
"Korea, Dem. PeopleÅEEEs Rep.",70.33792683
Portugal,81.52195122
Paraguay,73.02563415
West Bank and Gaza,73.07419512
Pacific island small states,70.10844881
Post-demographic dividend,80.64198998
French Polynesia,76.75241463
Qatar,78.76258537
Romania,74.96097561
Russian Federation,70.90853659
Rwanda,64.52453659
South Asia,68.43848177
Saudi Arabia,74.49334146
Sudan,63.71073171
Senegal,66.80441463
Singapore,82.59512195
Solomon Islands,68.1462439
Sierra Leone,51.30817073
El Salvador,73.00109756
San Marino,
Somalia,55.68558537
Serbia,75.48780488
Sub-Saharan Africa (excluding high income),58.99419658
South Sudan,56.1115122
Sub-Saharan Africa,58.99552503
Small states,68.01586715
Sao Tome and Principe,66.51370732
Suriname,71.29417073
Slovak Republic,77.21219512
Slovenia,81.07804878
Sweden,82.55121951
Swaziland,48.87395122
Sint Maarten (Dutch part),
Seychelles,73.22926829
Syrian Arab Republic,70.08931707
Turks and Caicos Islands,
Chad,51.87331707
East Asia & Pacific (IDA & IBRD countries),74.22167365
Europe & Central Asia (IDA & IBRD countries),72.72451919
Togo,60.1207561
Thailand,74.60119512
Tajikistan,69.76843902
Turkmenistan,65.73643902
Latin America & the Caribbean (IDA & IBRD countries),75.06264491
Timor-Leste,68.52641463
Middle East & North Africa (IDA & IBRD countries),72.47223569
Tonga,72.94404878
South Asia (IDA & IBRD),68.43848177
Sub-Saharan Africa (IDA & IBRD countries),58.99552503
Trinidad and Tobago,70.55770732
Tunisia,74.97597561
Turkey,75.42621951
Tuvalu,
Tanzania,65.4874878
Uganda,59.17907317
Ukraine,71.1895122
Upper middle income,74.65486828
Uruguay,77.13821951
United States,78.74146341
Uzbekistan,68.45307317
St. Vincent and the Grenadines,73.05236585
"Venezuela, RB",74.40960976
British Virgin Islands,
Virgin Islands (U.S.),79.87317073
Vietnam,75.77773171
Vanuatu,72.15736585
World,71.67596588
Samoa,73.76487805
Kosovo,71.34634146
"Yemen, Rep.",64.03139024
South Africa,57.44090244
Zambia,60.78568293
Zimbabwe,59.16107317
