Country_Name,GDP_2010
Aruba,24289.14152
Afghanistan,569.9407288
Angola,3886.479354
Albania,4094.358832
Andorra,39641.74601
Arab World,5956.43553
United Arab Emirates,34341.91129
Argentina,10276.51327
Armenia,3124.784018
American Samoa,10353.00884
Antigua and Barbuda,13017.31039
Australia,51845.65486
Austria,46659.84082
Azerbaijan,5842.805784
Burundi,214.2309908
Belgium,44382.87977
Benin,732.9536227
Burkina Faso,575.0118818
Bangladesh,760.3319352
Bulgaria,6843.263289
Bahrain,20386.01756
"Bahamas, The",21920.51659
Bosnia and Herzegovina,4475.08813
Belarus,5818.497411
Belize,4348.019539
Bermuda,88207.32756
Bolivia,1981.166313
Brazil,11121.41809
Barbados,15906.18932
Brunei Darussalam,34852.02398
Bhutan,2201.293078
Botswana,6243.998831
Central African Republic,446.8002046
Canada,47445.76193
Central Europe and the Baltics,12557.38267
Switzerland,74277.12051
Channel Islands,
Chile,12785.05187
China,4560.512487
Cote d'Ivoire,1236.085198
Cameroon,1147.242347
"Congo, Dem. Rep.",311.247896
"Congo, Rep.",2953.185008
Colombia,6250.6545
Comoros,759.2631309
Cabo Verde,3393.927212
Costa Rica,8199.427257
Caribbean small states,8799.589747
Cuba,5688.649046
Curacao,
Cayman Islands,
Cyprus,30818.46396
Czech Republic,19763.9638
Germany,41788.04479
Djibouti,1358.4605
Dominica,6938.952146
Denmark,58041.15322
Dominican Republic,5451.068061
Algeria,4473.486441
East Asia & Pacific (excluding high income),4009.911153
Early-demographic dividend,2908.316064
East Asia & Pacific,7680.317201
Europe & Central Asia (excluding high income),7651.392325
Europe & Central Asia,23465.97434
Ecuador,4657.301737
"Egypt, Arab Rep.",2668.035988
Euro area,37613.19687
Eritrea,451.4266933
Spain,30737.83227
Estonia,14639.4733
Ethiopia,341.8589562
European Union,33659.48721
Fragile and conflict affected situations,1442.585638
Finland,46205.16601
Fiji,3651.958291
France,40705.76623
Faroe Islands,47381.52276
"Micronesia, Fed. Sts.",2838.448547
Gabon,9312.049463
United Kingdom,38708.67629
Georgia,2964.477048
Ghana,1323.099141
Gibraltar,
Guinea,430.0564739
"Gambia, The",562.5681661
Guinea-Bissau,517.8891758
Equatorial Guinea,22366.2939
Greece,26919.36164
Grenada,7365.666659
Greenland,40193.66603
Guatemala,2805.973937
Guam,30701.20421
Guyana,2998.941274
High income,39185.99747
"Hong Kong SAR, China",32549.99823
Honduras,2096.202949
Heavily indebted poor countries (HIPC),736.7731151
Croatia,13509.18582
Haiti,662.2793812
Hungary,13025.7948
IBRD only,4579.186498
IDA & IBRD total,3684.65925
IDA total,1098.07346
IDA blend,1607.030955
Indonesia,3125.219945
IDA only,812.0619168
Isle of Man,64275.01244
India,1345.721383
Not classified,
Ireland,48541.47764
"Iran, Islamic Rep.",6299.918738
Iraq,4487.366289
Iceland,41676.44909
Israel,30661.99004
Italy,35851.50807
Jamaica,4812.481498
Jordan,4054.270668
Japan,44507.66371
Kazakhstan,9070.649972
Kenya,991.8505451
Kyrgyz Republic,880.0377751
Cambodia,782.6927899
Kiribati,1493.218696
St. Kitts and Nevis,13466.82783
"Korea, Rep.",22151.20889
Kuwait,37725.14121
Latin America & Caribbean (excluding high income),8608.434747
Lao PDR,1138.526082
Lebanon,8763.795964
Liberia,326.6044381
Libya,11933.77926
St. Lucia,7000.641583
Latin America & Caribbean,8908.357346
Least developed countries: UN classification,797.9438643
Low income,519.3098474
Liechtenstein,140102.7257
Sri Lanka,2819.511161
Lower middle income,1669.094297
Low & middle income,3573.427588
Lesotho,1189.776151
Late-demographic dividend,6189.905216
Lithuania,11988.75797
Luxembourg,104367.4268
Latvia,11329.89512
"Macao SAR, China",52604.32713
St. Martin (French part),
Morocco,2857.673414
Monaco,145221.1916
Moldova,1631.535832
Madagascar,414.1427872
Maldives,6330.79498
Middle East & North Africa,7114.360459
Mexico,8861.49372
Marshall Islands,3142.429476
Middle income,3899.656803
"Macedonia, FYR",4561.177546
Mali,704.0646209
Malta,21087.79469
Myanmar,957.6247442
Middle East & North Africa (excluding high income),4104.969584
Montenegro,6681.927148
Mongolia,2650.34682
Northern Mariana Islands,14834.75678
Mozambique,417.5012315
Mauritania,1207.827458
Mauritius,8000.376432
Malawi,471.0587532
Malaysia,9069.030717
North America,48289.71759
Namibia,5143.130676
New Caledonia,
Niger,351.0062183
Nigeria,2302.828709
Nicaragua,1523.481469
Netherlands,50341.25192
Norway,87646.2701
Nepal,595.4275198
Nauru,4912.600857
New Zealand,33692.1696
OECD members,35821.87232
Oman,19920.64957
Other small states,12336.7234
Pakistan,1043.300205
Panama,7987.060372
Peru,5021.249374
Philippines,2145.240007
Palau,8978.993649
Papua New Guinea,1418.923591
Poland,12599.52486
Pre-demographic dividend,1363.451241
Puerto Rico,26435.73308
"Korea, Dem. PeopleÅEEs Rep.",
Portugal,22539.99601
Paraguay,3225.591754
West Bank and Gaza,2338.719877
Pacific island small states,2901.36516
Post-demographic dividend,39433.26259
French Polynesia,
Qatar,70870.22658
Romania,8297.483621
Russian Federation,10674.98232
Rwanda,553.5974576
South Asia,1253.659522
Saudi Arabia,18753.98123
Sudan,1421.532942
Senegal,996.7074883
Singapore,46569.67951
Solomon Islands,1276.348725
Sierra Leone,453.0220407
El Salvador,3547.070983
San Marino,
Somalia,
Serbia,5411.877404
Sub-Saharan Africa (excluding high income),1553.463967
South Sudan,1563.904195
Sub-Saharan Africa,1554.414045
Small states,11045.04744
Sao Tome and Principe,1155.512951
Suriname,8430.905965
Slovak Republic,16601.60197
Slovenia,23438.86747
Sweden,52076.43052
Swaziland,3793.659464
Sint Maarten (Dutch part),
Seychelles,10804.68447
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,895.8780349
East Asia & Pacific (IDA & IBRD countries),4052.702454
Europe & Central Asia (IDA & IBRD countries),8136.282555
Togo,496.4824942
Thailand,5111.909202
Tajikistan,744.1842273
Turkmenistan,4479.012354
Latin America & the Caribbean (IDA & IBRD countries),8825.9034
Timor-Leste,892.0446268
Middle East & North Africa (IDA & IBRD countries),4125.510728
Tonga,3554.075455
South Asia (IDA & IBRD),1253.659522
Sub-Saharan Africa (IDA & IBRD countries),1554.414045
Trinidad and Tobago,16684.0086
Tunisia,4140.438567
Turkey,10111.19251
Tuvalu,3238.375763
Tanzania,708.5219323
Uganda,608.954866
Ukraine,2965.142365
Upper middle income,6332.29701
Uruguay,11938.27505
United States,48374.08679
Uzbekistan,1377.08214
St. Vincent and the Grenadines,6231.713226
"Venezuela, RB",13581.35338
British Virgin Islands,
Virgin Islands (U.S.),40831.11408
Vietnam,1333.583524
Vanuatu,2965.75223
World,9510.799375
Samoa,3530.573994
Kosovo,3283.211938
"Yemen, Rep.",1310.053671
South Africa,7362.76139
Zambia,1456.126826
Zimbabwe,674.2686954
