Country_Name,Life_Expectancy_2005
Aruba,74.22807317
Afghanistan,57.0272439
Angola,48.53880488
Albania,76.08160976
Andorra,
Arab World,68.78043941
United Arab Emirates,75.68639024
Argentina,74.68780488
Armenia,73.28739024
American Samoa,
Antigua and Barbuda,74.42543902
Australia,80.84146341
Austria,79.33170732
Azerbaijan,68.93726829
Burundi,52.69695122
Belgium,78.9804878
Benin,57.06597561
Burkina Faso,53.58131707
Bangladesh,67.97185366
Bulgaria,72.56097561
Bahrain,75.42214634
"Bahamas, The",73.63887805
Bosnia and Herzegovina,75.09353659
Belarus,68.85121951
Belize,69.08636585
Bermuda,78.68536585
Bolivia,63.53978049
Brazil,71.83963415
Barbados,74.03034146
Brunei Darussalam,76.21346341
Bhutan,64.91843902
Botswana,54.55221951
Central African Republic,44.73809756
Canada,80.29268293
Central Europe and the Baltics,73.84004668
Switzerland,81.23658537
Channel Islands,78.90321951
Chile,78.63829268
China,73.76695122
Cote d'Ivoire,47.75185366
Cameroon,51.88904878
"Congo, Dem. Rep.",53.63829268
"Congo, Rep.",53.56153659
Colombia,72.26392683
Comoros,60.10978049
Cabo Verde,71.52353659
Costa Rica,78.08665854
Caribbean small states,71.09648219
Cuba,77.93214634
Curacao,
Cayman Islands,
Cyprus,78.58960976
Czech Republic,75.92439024
Germany,78.93170732
Djibouti,57.98429268
Dominica,
Denmark,77.84390244
Dominican Republic,71.70039024
Algeria,72.19656098
East Asia & Pacific (excluding high income),72.12435714
Early-demographic dividend,66.02818833
East Asia & Pacific,73.06035334
Europe & Central Asia (excluding high income),68.35725268
Europe & Central Asia,74.09992097
Ecuador,74.13797561
"Egypt, Arab Rep.",69.42968293
Euro area,79.42614449
Eritrea,58.59241463
Spain,80.17073171
Estonia,72.56829268
Ethiopia,56.23656098
European Union,78.36481765
Fragile and conflict affected situations,58.39419689
Finland,78.81707317
Fiji,68.49178049
France,80.16341463
Faroe Islands,79.2902439
"Micronesia, Fed. Sts.",67.92436585
Gabon,59.46804878
United Kingdom,79.04878049
Georgia,72.9902439
Ghana,58.70104878
Gibraltar,
Guinea,52.58660976
"Gambia, The",57.89209756
Guinea-Bissau,52.33929268
Equatorial Guinea,53.67458537
Greece,79.23902439
Grenada,71.37209756
Greenland,69.22073171
Guatemala,69.64597561
Guam,76.74753659
Guyana,65.5825122
High income,78.69345793
"Hong Kong SAR, China",81.5804878
Honduras,71.48217073
Heavily indebted poor countries (HIPC),55.09235917
Croatia,75.24463415
Haiti,59.17846341
Hungary,72.64878049
IBRD only,69.56182763
IDA & IBRD total,67.09632705
IDA total,59.51916388
IDA blend,60.67846574
Indonesia,67.16856098
IDA only,58.86908267
Isle of Man,
India,64.52387805
Not classified,
Ireland,78.94390244
"Iran, Islamic Rep.",71.93170732
Iraq,68.38168293
Iceland,81.50243902
Israel,80.15121951
Italy,80.78292683
Jamaica,73.42802439
Jordan,72.63890244
Japan,81.92512195
Kazakhstan,65.9097561
Kenya,53.51982927
Kyrgyz Republic,67.95609756
Cambodia,62.96770732
Kiribati,64.78236585
St. Kitts and Nevis,
"Korea, Rep.",78.43268293
Kuwait,73.65141463
Latin America & Caribbean (excluding high income),72.69688482
Lao PDR,61.7345122
Lebanon,76.83258537
Liberia,55.06617073
Libya,71.471
St. Lucia,72.99907317
Latin America & Caribbean,72.9168616
Least developed countries: UN classification,58.39945811
Low income,55.29902982
Liechtenstein,80.66829268
Sri Lanka,73.97356098
Lower middle income,64.39209329
Low & middle income,67.0234833
Lesotho,43.65773171
Late-demographic dividend,72.82374956
Lithuania,71.25365854
Luxembourg,79.43170732
Latvia,71.35609756
"Macao SAR, China",78.64902439
St. Martin (French part),77.87073171
Morocco,70.43982927
Monaco,
Moldova,67.67807317
Madagascar,61.18729268
Maldives,74.33234146
Middle East & North Africa,70.97246242
Mexico,75.28209756
Marshall Islands,
Middle income,68.18289158
"Macedonia, FYR",74.08890244
Mali,52.57970732
Malta,79.3
Myanmar,63.55526829
Middle East & North Africa (excluding high income),70.42503855
Montenegro,73.58429268
Mongolia,65.16692683
Northern Mariana Islands,
Mozambique,50.64160976
Mauritania,60.66036585
Mauritius,72.43219512
Malawi,48.27592683
Malaysia,73.60060976
North America,77.76444426
Namibia,55.97743902
New Caledonia,75.16829268
Niger,53.93685366
Nigeria,48.6664878
Nicaragua,71.83809756
Netherlands,79.34634146
Norway,80.04146341
Nepal,65.49429268
Nauru,
New Zealand,79.85121951
OECD members,78.23518995
Oman,74.40760976
Other small states,61.80564175
Pakistan,63.87763415
Panama,75.97163415
Peru,72.4585122
Philippines,67.2664878
Palau,69.12926829
Papua New Guinea,60.64307317
Poland,74.99512195
Pre-demographic dividend,53.17274708
Puerto Rico,78.29609756
"Korea, Dem. PeopleÅEs Rep.",68.157
Portugal,78.07073171
Paraguay,71.28631707
West Bank and Gaza,71.47087805
Pacific island small states,68.06841613
Post-demographic dividend,78.44761633
French Polynesia,74.22668293
Qatar,77.02353659
Romania,71.87889512
Russian Federation,65.5297561
Rwanda,54.75160976
South Asia,64.8032031
Saudi Arabia,73.177
Sudan,59.84082927
Senegal,60.36192683
Singapore,79.9902439
Solomon Islands,65.5534878
Sierra Leone,43.60307317
El Salvador,70.17892683
San Marino,81.97560976
Somalia,52.35585366
Serbia,72.83414634
Sub-Saharan Africa (excluding high income),52.71503801
South Sudan,51.17163415
Sub-Saharan Africa,52.71714708
Small states,64.13837328
Sao Tome and Principe,64.57690244
Suriname,68.846
Slovak Republic,73.90487805
Slovenia,77.61219512
Sweden,80.54634146
Swaziland,45.86007317
Sint Maarten (Dutch part),
Seychelles,72.13170732
Syrian Arab Republic,74.36385366
Turks and Caicos Islands,
Chad,47.97390244
East Asia & Pacific (IDA & IBRD countries),72.17485688
Europe & Central Asia (IDA & IBRD countries),69.00906111
Togo,54.50797561
Thailand,72.15726829
Tajikistan,66.09721951
Turkmenistan,64.43236585
Latin America & the Caribbean (IDA & IBRD countries),72.7733179
Timor-Leste,64.15609756
Middle East & North Africa (IDA & IBRD countries),70.41347766
Tonga,71.45334146
South Asia (IDA & IBRD),64.8032031
Sub-Saharan Africa (IDA & IBRD countries),52.71714708
Trinidad and Tobago,68.97904878
Tunisia,74.3032439
Turkey,72.44812195
Tuvalu,
Tanzania,55.60478049
Uganda,51.77021951
Ukraine,67.95682927
Upper middle income,72.15218103
Uruguay,75.63470732
