Country_Name,GDP_2005
Aruba,23302.83199
Afghanistan,257.1756945
Angola,1576.162801
Albania,2709.142931
Andorra,39991.32507
Arab World,3778.771845
United Arab Emirates,40298.52422
Argentina,5076.88344
Armenia,1625.407769
American Samoa,8508.55084
Antigua and Barbuda,12079.8657
Australia,33982.95043
Austria,38242.04252
Azerbaijan,1578.36733
Burundi,140.8151356
Belgium,36967.28292
Benin,587.0802124
Burkina Faso,406.673556
Bangladesh,485.8528881
Bulgaria,3893.68998
Bahrain,18418.07267
"Bahamas, The",23405.87955
Bosnia and Herzegovina,2928.26359
Belarus,3126.071767
Belize,3933.30443
Bermuda,75882.03386
Bolivia,1046.427843
Brazil,4730.653468
Barbados,14223.65813
Brunei Darussalam,26337.91811
Bhutan,1257.54864
Botswana,5327.853518
Central African Republic,332.9466401
Canada,36189.58838
Central Europe and the Baltics,8342.43635
Switzerland,54797.54663
Channel Islands,57209.24916
Chile,7728.611897
China,1753.4178
Cote d'Ivoire,942.2163849
Cameroon,915.0912877
"Congo, Dem. Rep.",213.310459
"Congo, Rep.",1737.611546
Colombia,3386.025444
Comoros,614.8613273
Cabo Verde,2049.615979
Costa Rica,4697.008923
Caribbean small states,6985.096978
Cuba,3786.843012
Curacao,
Cayman Islands,
Cyprus,25324.48666
Czech Republic,13317.72983
Germany,34696.62092
Djibouti,910.3645074
Dominica,5250.352561
Denmark,48799.82037
Dominican Republic,3681.060301
Algeria,3102.037363
East Asia & Pacific (excluding high income),1639.226544
Early-demographic dividend,1766.520421
East Asia & Pacific,4831.495249
Europe & Central Asia (excluding high income),4230.585554
Europe & Central Asia,19151.52243
Ecuador,3021.942767
"Egypt, Arab Rep.",1196.733309
Euro area,31983.68897
Eritrea,262.0745298
Spain,26510.71745
Estonia,10338.31726
Ethiopia,161.8769539
European Union,29078.09133
Fragile and conflict affected situations,784.9710513
Finland,38969.17163
Fiji,3658.617477
France,34879.72633
Faroe Islands,35808.82986
"Micronesia, Fed. Sts.",2352.639409
Gabon,6865.323497
United Kingdom,41524.06554
Georgia,1530.057521
Ghana,501.7240746
Gibraltar,
Guinea,303.7609661
"Gambia, The",433.2915831
Guinea-Bissau,401.147289
Equatorial Guinea,13129.59818
Greece,22551.73574
Grenada,6754.381175
Greenland,28985.39087
Guatemala,2064.047524
Guam,26496.04485
Guyana,1110.957717
High income,33810.98666
"Hong Kong SAR, China",26649.7508
Honduras,1405.780927
Heavily indebted poor countries (HIPC),443.2097504
Croatia,10224.24059
Haiti,465.3099364
Hungary,11161.72441
IBRD only,2311.84742
IDA & IBRD total,1885.910321
IDA total,576.8025559
IDA blend,773.8341648
Indonesia,1263.481441
IDA only,466.2306195
Isle of Man,36980.11308
India,729.000727
Not classified,
Ireland,50886.82729
"Iran, Islamic Rep.",3135.187408
Iraq,1848.968201
Iceland,56249.75055
Israel,20611.17931
Italy,31959.26215
Jamaica,4184.04952
Jordan,2360.530244
Japan,37217.64873
Kazakhstan,3771.278957
Kenya,530.0821579
Kyrgyz Republic,476.55213
Cambodia,472.4488559
Kiribati,1214.504048
St. Kitts and Nevis,11053.74474
"Korea, Rep.",18657.52125
Kuwait,35694.38171
Latin America & Caribbean (excluding high income),4803.449425
Lao PDR,476.1624042
Lebanon,5339.42388
Liberia,168.2067267
Libya,8158.889554
St. Lucia,5723.344818
Latin America & Caribbean,5058.131753
Least developed countries: UN classification,438.8603749
Low income,328.8904172
Liechtenstein,104994.0183
Sri Lanka,1259.807591
Lower middle income,860.5658468
Low & middle income,1810.092637
Lesotho,873.5655336
Late-demographic dividend,2912.605498
Lithuania,7863.162009
Luxembourg,79494.17953
Latvia,7558.742006
"Macao SAR, China",25829.991
St. Martin (French part),
Morocco,2023.252997
Monaco,126599.4033
Moldova,831.2052862
Madagascar,275.5158271
Maldives,3488.493769
Middle East & North Africa,4394.577442
Mexico,7893.962197
Marshall Islands,2645.981405
Middle income,1956.961523
"Macedonia, FYR",3063.595426
Mali,484.8106143
Malta,15835.34667
Myanmar,239.8128119
Middle East & North Africa (excluding high income),2276.714037
Montenegro,3674.52653
Mongolia,998.8222718
Northern Mariana Islands,16482.32151
Mozambique,365.5968499
Mauritania,692.5759654
Mauritius,5116.045424
Malawi,286.7851511
Malaysia,5564.173231
North America,43514.08192
Namibia,3582.25982
New Caledonia,
Niger,252.5046155
Nigeria,804.0061993
Nicaragua,1175.116443
Netherlands,41577.16009
Norway,66775.3944
Nepal,318.7480617
Nauru,
New Zealand,27750.89515
OECD members,31082.36539
Oman,12398.59435
Other small states,7940.991765
Pakistan,714.03681
Panama,4933.084985
Peru,2754.780428
Philippines,1196.539849
Palau,9710.152208
Papua New Guinea,799.4164059
Poland,8021.251569
Pre-demographic dividend,645.4767112
Puerto Rico,21959.32271
"Korea, Dem. PeopleÅEEs Rep.",
Portugal,18784.9485
Paraguay,1507.145951
West Bank and Gaza,1455.187878
Pacific island small states,2546.780305
Post-demographic dividend,34047.5941
French Polynesia,
Qatar,53207.33365
Romania,4676.315183
Russian Federation,5323.473877
Rwanda,286.5674904
South Asia,697.5542321
